2026-06-07 00:20:36 | INFO     | 2631898142.py (Line:41) | INITIALIZING ARCHITECTURAL MODULE: MULTI-MODEL TRAINING PIPELINE
2026-06-07 00:20:39 | INFO     | 2014233681.py (Line:20) | Successfully loaded blueprint dictionary with 7 models ready for training.
2026-06-07 00:31:20 | INFO     | 2014233681.py (Line:24) | Dimenstions verified : x_train (241, 18) | x_test (61, 18)
2026-06-07 00:31:20 | INFO     | 2014233681.py (Line:25) | Startig multimodel Excution loop
2026-06-07 00:31:20 | INFO     | 2014233681.py (Line:27) | processing model Logistic_Regression
2026-06-07 00:31:20 | ERROR    | 2014233681.py (Line:43) | Execution crash model Logistic_Regression
2026-06-07 00:31:20 | INFO     | 2014233681.py (Line:27) | processing model SVM
2026-06-07 00:31:20 | ERROR    | 2014233681.py (Line:43) | Execution crash model SVM
2026-06-07 00:31:20 | INFO     | 2014233681.py (Line:27) | processing model KNN
2026-06-07 00:31:22 | ERROR    | 2014233681.py (Line:43) | Execution crash model KNN
2026-06-07 00:31:22 | INFO     | 2014233681.py (Line:27) | processing model Naive_Bayes
2026-06-07 00:31:22 | ERROR    | 2014233681.py (Line:43) | Execution crash model Naive_Bayes
2026-06-07 00:31:22 | INFO     | 2014233681.py (Line:27) | processing model Decision_Tree
2026-06-07 00:31:22 | ERROR    | 2014233681.py (Line:43) | Execution crash model Decision_Tree
2026-06-07 00:31:22 | INFO     | 2014233681.py (Line:27) | processing model Random_Forest
2026-06-07 00:31:22 | ERROR    | 2014233681.py (Line:43) | Execution crash model Random_Forest
2026-06-07 00:31:22 | INFO     | 2014233681.py (Line:27) | processing model XGBoost
2026-06-07 00:31:24 | ERROR    | 2014233681.py (Line:43) | Execution crash model XGBoost
2026-06-07 00:31:24 | INFO     | 2014233681.py (Line:45) | Multi-model excution complete
2026-06-07 00:35:59 | INFO     | 2014233681.py (Line:24) | Dimenstions verified : x_train (241, 18) | x_test (61, 18)
2026-06-07 00:35:59 | INFO     | 2014233681.py (Line:25) | Startig multimodel Excution loop
2026-06-07 00:35:59 | INFO     | 2014233681.py (Line:27) | processing model Logistic_Regression
2026-06-07 00:35:59 | ERROR    | 2014233681.py (Line:43) | Execution crash model Logistic_Regression
2026-06-07 00:35:59 | INFO     | 2014233681.py (Line:27) | processing model SVM
2026-06-07 00:35:59 | ERROR    | 2014233681.py (Line:43) | Execution crash model SVM
2026-06-07 00:35:59 | INFO     | 2014233681.py (Line:27) | processing model KNN
2026-06-07 00:35:59 | ERROR    | 2014233681.py (Line:43) | Execution crash model KNN
2026-06-07 00:35:59 | INFO     | 2014233681.py (Line:27) | processing model Naive_Bayes
2026-06-07 00:35:59 | ERROR    | 2014233681.py (Line:43) | Execution crash model Naive_Bayes
2026-06-07 00:35:59 | INFO     | 2014233681.py (Line:27) | processing model Decision_Tree
2026-06-07 00:35:59 | ERROR    | 2014233681.py (Line:43) | Execution crash model Decision_Tree
2026-06-07 00:35:59 | INFO     | 2014233681.py (Line:27) | processing model Random_Forest
2026-06-07 00:36:00 | ERROR    | 2014233681.py (Line:43) | Execution crash model Random_Forest
2026-06-07 00:36:00 | INFO     | 2014233681.py (Line:27) | processing model XGBoost
2026-06-07 00:36:00 | ERROR    | 2014233681.py (Line:43) | Execution crash model XGBoost
2026-06-07 00:36:00 | INFO     | 2014233681.py (Line:45) | Multi-model excution complete
2026-06-07 00:37:02 | INFO     | 4272757326.py (Line:20) | Successfully loaded blueprint dictionary with 7 models ready for training.
2026-06-07 00:37:05 | INFO     | 4272757326.py (Line:24) | Dimenstions verified : x_train (241, 18) | x_test (61, 18)
2026-06-07 00:37:05 | INFO     | 4272757326.py (Line:25) | Startig multimodel Excution loop
2026-06-07 00:37:05 | INFO     | 4272757326.py (Line:27) | processing model Logistic_Regression
2026-06-07 00:37:05 | ERROR    | 4272757326.py (Line:43) | Execution crash model Logistic_Regression. Error details: 'ROC_AUC'
2026-06-07 00:37:05 | INFO     | 4272757326.py (Line:27) | processing model SVM
2026-06-07 00:37:05 | ERROR    | 4272757326.py (Line:43) | Execution crash model SVM. Error details: 'ROC_AUC'
2026-06-07 00:37:05 | INFO     | 4272757326.py (Line:27) | processing model KNN
2026-06-07 00:37:05 | ERROR    | 4272757326.py (Line:43) | Execution crash model KNN. Error details: 'ROC_AUC'
2026-06-07 00:37:05 | INFO     | 4272757326.py (Line:27) | processing model Naive_Bayes
2026-06-07 00:37:05 | ERROR    | 4272757326.py (Line:43) | Execution crash model Naive_Bayes. Error details: 'ROC_AUC'
2026-06-07 00:37:05 | INFO     | 4272757326.py (Line:27) | processing model Decision_Tree
2026-06-07 00:37:05 | ERROR    | 4272757326.py (Line:43) | Execution crash model Decision_Tree. Error details: 'ROC_AUC'
2026-06-07 00:37:05 | INFO     | 4272757326.py (Line:27) | processing model Random_Forest
2026-06-07 00:37:05 | ERROR    | 4272757326.py (Line:43) | Execution crash model Random_Forest. Error details: 'ROC_AUC'
2026-06-07 00:37:05 | INFO     | 4272757326.py (Line:27) | processing model XGBoost
2026-06-07 00:37:05 | ERROR    | 4272757326.py (Line:43) | Execution crash model XGBoost. Error details: 'ROC_AUC'
2026-06-07 00:37:05 | INFO     | 4272757326.py (Line:45) | Multi-model excution complete
